rank,tier,priority_score,formula_tier,formula_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,gmgn_realized_profit_usd,gmgn_pnl_ratio,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_period,gmgn_snapshot_at_iso,gmgn_tags,okx_win_rate,okx_avg_buy_value_usd,okx_preferred_mcap,okx_buy_tx_count,okx_snapshot_at_iso,kol_like,owner_manual_label,owner_manual_notes,sources,tags,provider_tags,token_tags,llm_verdict,llm_confidence,llm_recommended_action,llm_reasoning,llm_reviewed_at_iso,llm_review_fresh,llm_score_adjustment,llm_formula_disagreement,stale_review_count,stale_candidate,stale_reason,manual_rating,manual_notes
11,A,156.7,A,149.7,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,https://gmgn.ai/sol/address/5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yenni,Yennii56,Yenni,5,4,0.625,8,5,8,4.3,2026-05-08T07:46:37.000Z,2026-05-08T08:08:34.966Z,142556,0,4194.431896575176,0.444444,no,4.3,2026-05-08T08:08:34.966Z,79.2661683420818,,,,,,,,,,,,,,yes,,,okx|gmgn,smart_money|renowned|kol,kol|axiom|padre,bundler|transfer_in|paper_hands|diamond_hands,genuine_smart_trader,70,promote,"Multiple sources show actual trades with positive PnL and win rate, targeting micro-cap tokens, though some holder sightings limit full clarity.",2026-05-12T11:36:30.870Z,yes,7,no,0,no,,,
12,A,155.1,A,155.1,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,https://gmgn.ai/sol/address/6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,Cowboy🔶BNB,feibo03,Cowboy🔶BNB,3,3,0.300,10,10,2.52,0.3,2026-05-10T05:37:10.000Z,2026-05-12T06:42:38.127Z,114266,39,-69.59994638265,0,yes,0.3,2026-05-12T06:42:38.127Z,0.00006805461159950683,,,0.5674418604651162,,,7d,2026-05-12T14:30:09.810Z,bullx|kol|app_smart_money|axiom|gmgn,47.49,315.5246425416,<100K,263,2026-05-12T14:30:19.384Z,yes,kol_profitable_watch,"Owner: KOL but seems profitable; watch, but do not enter when already in profit on candidate token.",gmgn|okx,renowned|smart_money,kol|axiom|bullx|gmgn,bundler|paper_hands,copy_trader,70,watch,"KOL-like wallet with mixed profitability (OKX PnL $4,851 but harvester PnL -$69.60); likely follows KOL signals rather than independent smart trading, given high follower count and noisy flow.",2026-05-12T14:31:53.714Z,yes,0,no,0,no,,,
13,A,154.1,A,154.1,8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,https://gmgn.ai/sol/address/8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,,,,6,5,0.545,11,10,11,4.3,2026-05-08T08:01:34.000Z,2026-05-08T08:07:29.513Z,101776,45,89.46642681825,0,no,4.3,2026-05-08T08:07:29.513Z,0.002991274042175489,,,,,,,,,,,,,,no,,,gmgn,smart_degen,,,,,,,,no,0,no,0,no,,,
14,B,152.8,B,152.8,AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,https://gmgn.ai/sol/address/AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,Putrick,Putrickk,Putrick,2,2,1.000,2,2,0.69,1.4,2026-05-10T06:59:50.000Z,2026-05-11T05:33:22.267Z,99339,,642.00504966179,0,yes,1.4,2026-05-11T05:33:22.267Z,0.0006613780069502252,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom,bundler|sniper,,,,,,no,0,no,0,no,,,
15,A,152.6,A,152.6,FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,https://gmgn.ai/sol/address/FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,Hesi,hesiitations,Hesi,3,3,0.333,9,9,2.26,0.3,2026-05-10T20:47:16.000Z,2026-05-12T06:42:34.190Z,93261,,-3568.7987914663045,0,yes,0.3,2026-05-12T06:42:34.190Z,0.007597318684463398,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|gmgn|padre|wash_trader,paper_hands|bundler,,,,,,no,0,no,0,no,,,
16,A,151.9,A,151.9,7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,https://gmgn.ai/sol/address/7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,,,,3,3,0.273,11,11,2.78,0.3,2026-05-10T05:46:41.000Z,2026-05-12T06:42:46.142Z,114266,,29.04498726214,0,yes,0.3,2026-05-12T06:42:46.142Z,0.0003519300045581876,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,,,,,,no,0,no,0,no,,,
17,A,151.4,A,149.1,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,https://gmgn.ai/sol/address/2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,,,,5,5,0.500,10,10,10,4.3,2026-05-08T06:49:03.000Z,2026-05-08T08:07:33.544Z,68079,,186.31417543645,0,no,4.3,2026-05-08T08:07:33.544Z,0.000113224922093986,,,0.4323076923076923,,,7d,2026-05-12T14:30:06.080Z,top_renamed,43.58,87.5028620991,<100K,5929,2026-05-12T14:30:10.806Z,no,smart_wallet,"Owner GMGN screenshot: data-sufficient smart wallet; 7D analytics visible, not insufficient_data.",gmgn,smart_degen,,,genuine_smart_trader,75,keep,"High buy volume concentrated in <100K mcap tokens with positive realized PnL and active trading stats, but local sightings are holder-only making recent activity unclear.",2026-05-12T14:31:42.838Z,yes,2.3,no,0,no,,,
18,A,150.1,A,147.7,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,https://gmgn.ai/sol/address/2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,,,,3,3,0.300,10,8,2.52,0.3,2026-05-10T20:42:50.000Z,2026-05-12T06:42:46.142Z,93261,,84.34803800338,0,yes,0.3,2026-05-12T06:42:46.142Z,0.00037806253283343316,,,0.574468085106383,,,7d,2026-05-12T14:30:06.373Z,axiom|smart_degen,56.57,262.1917682126,<100K,148,2026-05-12T14:30:11.325Z,no,data_sufficient,Owner: has GMGN data; do not treat as insufficient_data solely from sparse local sightings.,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,80,keep,"Strong win rate, positive realized PnL, and preferred mcap <100K with recent sell activity, but local sightings are sparse and mostly holder signals.",2026-05-12T14:31:42.838Z,yes,2.4,no,0,no,,,
19,B,149.6,B,149.6,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,https://gmgn.ai/sol/address/DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,RC,ResellCalendar,RC,2,2,0.333,6,5,1.51,0.3,2026-05-10T21:33:58.000Z,2026-05-12T06:42:34.190Z,125441,,28442.936899566015,0,yes,0.3,2026-05-12T06:42:34.190Z,0.0009554999527777442,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|fomo,bundler|paper_hands,,,,,,no,0,no,0,no,,,
20,A,149.4,A,149.4,H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,https://gmgn.ai/sol/address/H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,,,,4,4,0.400,10,9,3.42,1.4,2026-05-10T22:35:07.000Z,2026-05-11T05:34:06.309Z,92925,,369.93783905186,0,yes,1.4,2026-05-11T05:34:06.309Z,0.00010586550328169261,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,,,,,,no,0,no,0,no,,,
21,A,146.8,A,146.8,9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,https://gmgn.ai/sol/address/9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,,,,3,3,0.500,6,6,1.52,0.3,2026-05-08T06:05:00.000Z,2026-05-12T06:42:36.123Z,139873,303,186.48867539179,0,yes,0.3,2026-05-12T06:42:36.123Z,0.00021614130459940594,,,,,,,,,,,,,,no,,,gmgn,smart_degen,gmgn,,,,,,,no,0,no,0,no,,,
22,B,137.2,B,135.1,2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,https://gmgn.ai/sol/address/2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,,,,2,2,0.200,10,9,2.52,0.3,2026-05-08T05:23:34.000Z,2026-05-12T06:42:34.184Z,111610,,256.02928713708,0,yes,0.3,2026-05-12T06:42:34.184Z,0.0022005357713658965,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|photon,bundler|paper_hands,genuine_smart_trader,70,keep,"Wallet shows large sell trades with available USD amounts on tokens outside target mcap, but also holds target-mcap tokens, indicating selective early entry despite sparse context.",2026-05-12T11:36:20.287Z,yes,2.1,no,0,no,,,
23,C,135.9,C,135.9,5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,https://gmgn.ai/sol/address/5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,tech,technoviking46,tech,1,1,0.333,3,3,0.76,0.3,2026-05-10T20:09:06.000Z,2026-05-12T06:42:34.187Z,28902,,7683.64539968084,0,yes,0.3,2026-05-12T06:42:34.187Z,0.0016850730768004753,,,,,,,,,,,,,,yes,,,okx|gmgn,kol|smart_degen|renowned,kol|axiom|photon|bullx|padre,bundler|paper_hands,,,,,,no,0,no,0,no,,,
24,B,135.9,B,135.9,AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,https://gmgn.ai/sol/address/AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,,,,2,2,0.667,3,3,0.76,0.3,2026-05-11T00:43:34.000Z,2026-05-12T06:42:16.139Z,74240,0,2408.44455800328,0,yes,0.3,2026-05-12T06:42:16.139Z,0.0012424391139090574,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,,,,,,no,0,no,0,no,,,
25,B,135.2,B,135.2,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,https://gmgn.ai/sol/address/undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,,,,2,2,0.200,10,10,2.52,0.3,2026-05-07T03:51:07.000Z,2026-05-12T06:42:46.143Z,139905,,121.11942271208,0,yes,0.3,2026-05-12T06:42:46.143Z,0.00032079887214557084,,,,,,,,,,,,,,no,,,gmgn,smart_degen,,bundler|paper_hands,,,,,,no,0,no,0,no,,,
26,B,134.3,B,134.3,79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,https://gmgn.ai/sol/address/79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,,,,2,2,0.182,11,9,2.77,0.3,2026-05-10T06:30:04.000Z,2026-05-12T06:42:46.142Z,125441,3342,116.86796002444,0,yes,0.3,2026-05-12T06:42:46.142Z,0.00015470008548663138,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,,,,,,no,0,no,0,no,,,
27,A,133.9,A,133.9,GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,https://gmgn.ai/sol/address/GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,,,,3,3,0.429,7,7,1.77,0.3,2026-05-10T20:50:26.000Z,2026-05-12T06:42:34.185Z,84040,,-296.89545953488226,0,yes,0.3,2026-05-12T06:42:34.185Z,0.002880903759172325,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands|transfer_in,,,,,,no,0,no,0,no,,,
28,B,131.6,B,131.6,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,https://gmgn.ai/sol/address/8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,,,,2,2,0.286,7,7,1.77,0.3,2026-05-07T19:42:37.000Z,2026-05-12T06:42:34.186Z,139905,,706.12124580883,0,yes,0.3,2026-05-12T06:42:34.186Z,0.004104440138045213,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,,,,,,no,0,no,0,no,,,
29,A,131.6,A,131.6,9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,https://gmgn.ai/sol/address/9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,,,,3,3,1.000,3,3,3,4.3,2026-05-08T00:02:10.000Z,2026-05-08T08:07:27.489Z,116737,,571.33699452139,0,no,4.3,2026-05-08T08:07:27.489Z,0.0001647960198817748,,,,,,,,,,,,,,no,,,gmgn,smart_degen,,,,,,,,no,0,no,0,no,,,
30,B,130.9,B,130.9,sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,https://gmgn.ai/sol/address/sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,,,,2,2,0.222,9,7,2.26,0.3,2026-05-10T20:44:08.000Z,2026-05-12T06:42:34.185Z,54000,,348.3749801069825,0,yes,0.3,2026-05-12T06:42:34.185Z,0.004796020147140455,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,,,,,no,0,no,0,no,,,
31,B,130.3,B,130.3,8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,https://gmgn.ai/sol/address/8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,,,,2,2,0.667,3,3,0.75,0.3,2026-05-08T06:30:16.000Z,2026-05-12T06:42:32.169Z,109454,95,282.68599811212,0,yes,0.3,2026-05-12T06:42:32.169Z,0.000004072439420589821,,,,,,,,,,,,,,no,,,gmgn,smart_degen,,bundler,,,,,,no,0,no,0,no,,,
32,B,129.9,B,129.9,FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,https://gmgn.ai/sol/address/FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,,,,2,2,0.500,4,4,1.01,0.3,2026-05-10T20:45:40.000Z,2026-05-12T06:42:32.169Z,74240,,954.5706244685,0,yes,0.3,2026-05-12T06:42:32.169Z,0.008200087395777293,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,,,,,,no,0,no,0,no,,,
33,C,129.2,C,129.2,5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,https://gmgn.ai/sol/address/5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,Smokez,SmokezXBT,Smokez,1,1,0.500,2,2,0.51,0.3,2026-05-07T03:50:47.000Z,2026-05-12T06:42:34.193Z,148507,,7174.355483687117,0,yes,0.3,2026-05-12T06:42:34.193Z,0.000566498185491181,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|photon|trojan,paper_hands|bundler|transfer_in,,,,,,no,0,no,0,no,,,
34,B,128.8,B,128.8,1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,https://gmgn.ai/sol/address/1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,,,,2,2,1.000,2,2,2,1.4,2026-05-10T20:44:24.000Z,2026-05-11T05:34:06.309Z,74240,,19.65955688759,0,yes,1.4,2026-05-11T05:34:06.309Z,0.00020277775889685726,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,insufficient_data,30,watch,"The wallet has only two sparse sightings from holder endpoints with unavailable trade amounts, making it impossible to confirm trading activity or strategy.",2026-05-12T11:17:31.341Z,yes,0,no,0,no,,,
35,B,127.7,B,127.7,9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,https://gmgn.ai/sol/address/9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,,,,2,2,0.400,5,5,1.26,0.3,2026-05-07T11:53:10.000Z,2026-05-12T06:41:52.240Z,113803,,493.6288717818,0,yes,0.3,2026-05-12T06:41:52.240Z,0.002671931377148895,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|photon|bullx,paper_hands,,,,,,no,0,no,0,no,,,
36,C,126.6,C,126.6,F5jWYuiDLTiaLYa54D88YbpXgEsA6NKHzWy4SN4bMYjt,https://gmgn.ai/sol/address/F5jWYuiDLTiaLYa54D88YbpXgEsA6NKHzWy4SN4bMYjt,mercy,mercularx,mercy,1,1,0.333,3,3,0.75,0.3,2026-05-10T05:34:05.000Z,2026-05-12T06:42:34.190Z,119579,,40796.51145824081,0,yes,0.3,2026-05-12T06:42:34.190Z,0.0020854438962240912,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|photon|gmgn,bundler|paper_hands,,,,,,no,0,no,0,no,,,
37,C,125.9,C,125.9,AvzzD7SnRHb8Kv8dRk1JFYdWVcNtYhTybk2KbDWKB5ki,https://gmgn.ai/sol/address/AvzzD7SnRHb8Kv8dRk1JFYdWVcNtYhTybk2KbDWKB5ki,我是围棋高手（耐心）,0xweiqigaoshou,我是围棋高手（耐心）,1,1,0.333,3,3,0.76,0.3,2026-05-08T05:29:44.000Z,2026-05-12T06:42:34.189Z,91917,,7830.553570100639,0,yes,0.3,2026-05-12T06:42:34.189Z,0.0046898889119247065,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|gmgn,paper_hands|bundler,,,,,,no,0,no,0,no,,,
38,C,125.8,C,125.8,81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,https://gmgn.ai/sol/address/81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,,,,1,1,0.333,3,3,0.76,0.3,2026-05-08T05:24:04.000Z,2026-05-12T06:42:34.185Z,91917,,1080.46634348877,0,yes,0.3,2026-05-12T06:42:34.185Z,0.003357682384399083,,,,,,,,,,,,,,no,,,gmgn|okx,smart_degen|smart_money,gmgn,bundler,,,,,,no,0,no,0,no,,,
39,B,125.2,B,125.2,DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,https://gmgn.ai/sol/address/DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,Wick李🔶 BNB,SuperL9,Wick李🔶 BNB,2,2,0.286,7,7,1.77,0.3,2026-05-10T06:18:13.000Z,2026-05-12T06:42:38.128Z,105748,,413.16137873998,0,yes,0.3,2026-05-12T06:42:38.128Z,0.00006542520180987682,,,,,,,,,,,,,,yes,,,gmgn,renowned,kol|gmgn,paper_hands|bundler,,,,,,no,0,no,0,no,,,
40,C,123.9,C,123.9,2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,https://gmgn.ai/sol/address/2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,Veloce,VeloceSVJ,Veloce,1,1,0.500,2,2,0.51,0.3,2026-05-10T05:32:34.000Z,2026-05-12T06:42:34.191Z,119579,,932.02458429214,0,yes,0.3,2026-05-12T06:42:34.191Z,0.0014044692420894435,,,,,,,,,,,,,,yes,,,okx|gmgn,kol|renowned,kol|axiom|gmgn,bundler|paper_hands,,,,,,no,0,no,0,no,,,
