rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
11,A,166.2,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,https://gmgn.ai/sol/address/suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Cupsey,Cupseyy,Cupsey,3,3,0.300,10,10,2.53,0,2026-05-10T05:22:56.000Z,2026-05-12T06:42:16.141Z,114266,0,125.41405879125,0,0.00006937524106729314,gmgn|okx,renowned|kol,kol|axiom|photon,bundler|paper_hands,,
12,A,165.7,zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,https://gmgn.ai/sol/address/zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,,,,4,4,0.444,9,9,2.27,0,2026-05-10T20:43:23.000Z,2026-05-12T06:42:34.187Z,92925,0,177.21619009072,0,0.009000164520530565,gmgn,smart_degen,padre,bundler|paper_hands,,
13,A,163.5,9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,https://gmgn.ai/sol/address/9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,,,,4,3,0.333,12,11,3.02,0,2026-05-10T05:37:25.000Z,2026-05-12T06:42:46.145Z,108387,0,51.19011839141,0,0.00011278255270308967,gmgn,smart_degen,axiom|trojan,bundler|paper_hands,,
14,A,161.9,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,https://gmgn.ai/sol/address/7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,,,,3,3,0.200,15,14,3.77,0,2026-05-10T20:24:16.000Z,2026-05-12T06:42:46.143Z,93261,0,14.05369812612,0,0.0002085204865023099,gmgn,smart_degen,axiom|bullx|padre,paper_hands|bundler,,
15,A,159.9,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,https://gmgn.ai/sol/address/43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,,,,4,4,0.400,10,9,2.52,0,2026-05-10T20:52:54.000Z,2026-05-12T06:42:38.125Z,93032,0,11.60862746301,0,0.00014137073977517716,gmgn,smart_degen,gmgn,bundler|paper_hands,,
16,A,157.6,RTYizu6bjvFTBfiS56cEoqkKRqk5xa5VBKsHQUeUNDs,https://gmgn.ai/sol/address/RTYizu6bjvFTBfiS56cEoqkKRqk5xa5VBKsHQUeUNDs,,,,3,3,0.500,6,6,6,3.9,2026-05-08T05:19:50.000Z,2026-05-08T08:07:33.542Z,100772,0,36.86278831503,0,0.00021639520754549815,gmgn,smart_degen,,,,
17,A,153.5,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,https://gmgn.ai/sol/address/6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,Cowboy🔶BNB,feibo03,Cowboy🔶BNB,3,3,0.300,10,10,2.52,0,2026-05-10T05:37:10.000Z,2026-05-12T06:42:38.127Z,114266,13,-69.59994638265,0,0.00006805461159950683,gmgn|okx,renowned|smart_money,kol|axiom|bullx|gmgn,bundler|paper_hands,,
18,A,153.2,zzzCaz9jTFBka6vypB26BeyKK9BTqyFYyFzqZtM6sUa,https://gmgn.ai/sol/address/zzzCaz9jTFBka6vypB26BeyKK9BTqyFYyFzqZtM6sUa,,,,3,3,0.500,6,6,6,3.9,2026-05-08T05:55:19.000Z,2026-05-08T08:07:33.544Z,123909,0,6.20527152799,0,0.00009446710372547606,gmgn,smart_degen,,,,
19,A,151.6,9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,https://gmgn.ai/sol/address/9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,,,,3,3,1.000,3,3,3,3.9,2026-05-08T00:02:10.000Z,2026-05-08T08:07:27.489Z,116737,0,571.33699452139,0,0.0001647960198817748,gmgn,smart_degen,,,,
20,A,151,7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,https://gmgn.ai/sol/address/7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,,,,3,3,0.273,11,11,2.78,0,2026-05-10T05:46:41.000Z,2026-05-12T06:42:46.142Z,114266,0,29.04498726214,0,0.0003519300045581876,gmgn,smart_degen,axiom,paper_hands|bundler,,
21,A,150.1,FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,https://gmgn.ai/sol/address/FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,Hesi,hesiitations,Hesi,3,3,0.333,9,9,2.26,0,2026-05-10T20:47:16.000Z,2026-05-12T06:42:34.190Z,93261,0,-3568.7987914663045,0,0.007597318684463398,gmgn|okx,renowned|kol,kol|axiom|gmgn|padre|wash_trader,paper_hands|bundler,,
22,A,146.1,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,https://gmgn.ai/sol/address/2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,,,,3,3,0.300,10,8,2.52,0,2026-05-10T20:42:50.000Z,2026-05-12T06:42:46.142Z,93261,0,84.34803800338,0,0.00037806253283343316,gmgn,smart_degen,axiom,bundler|paper_hands,,
23,B,145.1,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,https://gmgn.ai/sol/address/DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,RC,ResellCalendar,RC,2,2,0.333,6,5,1.51,0,2026-05-10T21:33:58.000Z,2026-05-12T06:42:34.190Z,125441,0,28442.936899566015,0,0.0009554999527777442,gmgn|okx,renowned|kol,kol|fomo,bundler|paper_hands,,
24,A,144.6,2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,https://gmgn.ai/sol/address/2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,,,,3,3,0.750,4,4,4,3.9,2026-05-08T05:56:07.000Z,2026-05-08T08:07:33.543Z,126745,0,3.71894461966,0,0.00006162165951846984,gmgn,smart_degen,,,,
25,B,141.4,CRehX3UNi4MyyQagMz7MyfiWrN9ZynE6v2eNZ2ffrPD1,https://gmgn.ai/sol/address/CRehX3UNi4MyyQagMz7MyfiWrN9ZynE6v2eNZ2ffrPD1,,,,2,2,0.286,7,7,7,3.9,2026-05-07T23:01:17.000Z,2026-05-08T08:07:29.508Z,139905,0,48.54707233048857,0,0.0027628326534786503,gmgn,smart_degen,,,,
26,A,140.6,M8fe7UqgeFzw2arbSHCTLKyi5qW9KiC8bigC1TGS3G9,https://gmgn.ai/sol/address/M8fe7UqgeFzw2arbSHCTLKyi5qW9KiC8bigC1TGS3G9,,,,3,3,0.750,4,4,4,3.9,2026-05-07T14:51:22.000Z,2026-05-08T08:07:27.489Z,122472,0,-26.15459134652,0,0.0001886488473745097,gmgn,smart_degen,,,,
27,B,139.9,BVrGGCNcZxNSChWa7XEnGDPJZQTgCmfQYurzDMimnQVr,https://gmgn.ai/sol/address/BVrGGCNcZxNSChWa7XEnGDPJZQTgCmfQYurzDMimnQVr,,,,2,2,0.500,4,4,4,1,2026-05-10T22:05:06.000Z,2026-05-11T05:34:06.309Z,74240,0,252.41814624724,0,0.00005474233274405902,gmgn,smart_degen,axiom,paper_hands|bundler,,
28,A,139.8,9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,https://gmgn.ai/sol/address/9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,,,,3,3,0.500,6,6,1.52,0,2026-05-08T06:05:00.000Z,2026-05-12T06:42:36.123Z,139873,101,186.48867539179,0,0.00021614130459940594,gmgn,smart_degen,gmgn,,,
29,B,137.1,2HpEemeT7HawRakzj3ckwfPxmgPnji6z7z9yox1sNR8D,https://gmgn.ai/sol/address/2HpEemeT7HawRakzj3ckwfPxmgPnji6z7z9yox1sNR8D,,,,2,2,0.500,4,4,4,1,2026-05-11T01:58:44.000Z,2026-05-11T05:34:06.310Z,74240,50,86.54094654082,0,0.000055797852185120825,gmgn,smart_degen,,bundler|paper_hands,,
30,B,135.8,AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,https://gmgn.ai/sol/address/AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,Putrick,Putrickk,Putrick,2,2,1.000,2,2,0.69,1,2026-05-10T06:59:50.000Z,2026-05-11T05:33:22.267Z,99339,0,642.00504966179,0,0.0006613780069502252,gmgn|okx,renowned|kol,kol|axiom,bundler|sniper,,
31,B,134.3,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,https://gmgn.ai/sol/address/undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,,,,2,2,0.200,10,10,2.52,0,2026-05-07T03:51:07.000Z,2026-05-12T06:42:46.143Z,139905,0,121.11942271208,0,0.00032079887214557084,gmgn,smart_degen,,bundler|paper_hands,,
32,B,134.2,2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,https://gmgn.ai/sol/address/2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,,,,2,2,0.200,10,9,2.52,0,2026-05-08T05:23:34.000Z,2026-05-12T06:42:34.184Z,111610,0,256.02928713708,0,0.0022005357713658965,gmgn,smart_degen,axiom|photon,bundler|paper_hands,,
33,C,134,8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4,https://gmgn.ai/sol/address/8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4,Stigman,Stigman__,Stigman,1,1,0.200,5,5,4.77,0,2026-05-10T05:20:21.000Z,2026-05-12T06:42:34.186Z,119579,0,1622.5651211144684,0,0.0026731472691209927,gmgn,smart_degen,axiom|padre,bundler|transfer_in|paper_hands,,
34,B,133.9,HtwoXN4SeA4NDYMSwLc2fAYsXys3QUeVt78KDwFPYk3E,https://gmgn.ai/sol/address/HtwoXN4SeA4NDYMSwLc2fAYsXys3QUeVt78KDwFPYk3E,,,,2,2,0.500,4,4,4,3.9,2026-05-08T05:32:20.000Z,2026-05-08T08:07:33.544Z,111610,0,133.12455733295,0,0.0001423527393053937,gmgn,smart_degen,,,,
35,B,133.8,79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,https://gmgn.ai/sol/address/79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,,,,2,2,0.182,11,9,2.77,0,2026-05-10T06:30:04.000Z,2026-05-12T06:42:46.142Z,125441,1671,116.86796002444,0,0.00015470008548663138,gmgn,smart_degen,axiom,paper_hands|bundler,,
36,B,133.6,Tq9FfKdMhnMyBZiyXAGCXb3m6RsyX2WhfXq8DZykafU,https://gmgn.ai/sol/address/Tq9FfKdMhnMyBZiyXAGCXb3m6RsyX2WhfXq8DZykafU,,,,2,2,0.400,5,5,5,1,2026-05-11T00:49:49.000Z,2026-05-11T05:34:06.309Z,74240,0,-46.11180385221,0,0.000055727840694374464,gmgn,smart_degen,,paper_hands|bundler,,
37,C,132.9,HSsJjkHrxezZ1SdhgdivhDGXbxANicWbKvKsVtrMrJvG,https://gmgn.ai/sol/address/HSsJjkHrxezZ1SdhgdivhDGXbxANicWbKvKsVtrMrJvG,,,,1,1,0.167,6,6,5.72,0,2026-05-10T14:14:06.000Z,2026-05-12T06:42:46.142Z,119579,0,302.94779550724,0,0.00039879585079079195,gmgn,smart_degen,axiom|padre,paper_hands|bundler,,
38,B,132.6,Nsgx8SAf9jSmwqewSttpXbEKAHSPZPae2gFLfj6Yu44,https://gmgn.ai/sol/address/Nsgx8SAf9jSmwqewSttpXbEKAHSPZPae2gFLfj6Yu44,,,,2,2,0.500,4,4,4,3.9,2026-05-07T04:00:23.000Z,2026-05-08T08:07:29.513Z,135556,0,82.1359132483,0,0.002575505466355531,gmgn,smart_degen,,,,
39,B,131.6,HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,https://gmgn.ai/sol/address/HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,,,,2,2,0.667,3,3,3,1,2026-05-10T20:16:05.000Z,2026-05-11T05:34:06.309Z,74240,0,154.59280551155,0,0.0001802589770068261,gmgn,smart_degen,fresh_wallet|axiom,bundler|paper_hands,,
40,B,131,CVxUKFrWDYkE3gsZP9gyVmLD6XkXykk2ukKhAfNrJev8,https://gmgn.ai/sol/address/CVxUKFrWDYkE3gsZP9gyVmLD6XkXykk2ukKhAfNrJev8,,,,2,2,0.500,4,4,4,3.9,2026-05-07T13:03:12.000Z,2026-05-08T08:07:29.513Z,109454,0,44.06819989814,0,0.000059284517504793545,gmgn,smart_degen,,,,
41,C,129.7,4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh,https://gmgn.ai/sol/address/4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh,,,,1,1,0.500,2,2,2,3.9,2026-05-08T06:20:28.000Z,2026-05-08T08:08:34.970Z,91917,0,591.9426960182723,0.466667,48.990444028327616,okx|gmgn,smart_money|smart_degen,,,,
42,C,129.4,5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,https://gmgn.ai/sol/address/5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,tech,technoviking46,tech,1,1,0.333,3,3,0.76,0,2026-05-10T20:09:06.000Z,2026-05-12T06:42:34.187Z,28902,0,7683.64539968084,0,0.0016850730768004753,okx|gmgn,kol|smart_degen|renowned,kol|axiom|photon|bullx|padre,bundler|paper_hands,,
43,B,129.4,sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,https://gmgn.ai/sol/address/sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,,,,2,2,0.222,9,7,2.26,0,2026-05-10T20:44:08.000Z,2026-05-12T06:42:34.185Z,54000,0,348.3749801069825,0,0.004796020147140455,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
44,C,128.9,BN5UW6MaLRfqV5SqrC2qFeBipDbsefMrQtfhx91JMKJ6,https://gmgn.ai/sol/address/BN5UW6MaLRfqV5SqrC2qFeBipDbsefMrQtfhx91JMKJ6,,,,1,1,0.167,6,5,5.72,0,2026-05-10T05:53:45.000Z,2026-05-12T06:42:38.124Z,119579,0,139.53254281839,0,0.000019719258982295494,gmgn,smart_degen,axiom,paper_hands|bundler,,
45,A,128.9,GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,https://gmgn.ai/sol/address/GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,,,,3,3,0.429,7,7,1.77,0,2026-05-10T20:50:26.000Z,2026-05-12T06:42:34.185Z,84040,0,-296.89545953488226,0,0.002880903759172325,gmgn,smart_degen,axiom,bundler|paper_hands|transfer_in,,
46,C,128.6,BNqKcFbBcfdVvvtVxPPioQXSTVmq1KUDLRw4ARHi28i2,https://gmgn.ai/sol/address/BNqKcFbBcfdVvvtVxPPioQXSTVmq1KUDLRw4ARHi28i2,,,,1,1,0.250,4,4,4,1,2026-05-10T10:12:43.000Z,2026-05-11T05:33:58.284Z,119579,0,6055.7001743080045,0,0.00032204318041578804,gmgn,smart_degen,axiom,bundler|paper_hands|transfer_in,,
47,B,128.4,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,https://gmgn.ai/sol/address/8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,,,,2,2,0.286,7,7,1.77,0,2026-05-07T19:42:37.000Z,2026-05-12T06:42:34.186Z,139905,0,706.12124580883,0,0.004104440138045213,gmgn,smart_degen,axiom,bundler|paper_hands,,
48,C,127.8,DTmCAADcmgu5yMc7tqNegryFNpMAkSJzV6EGLWftwGSt,https://gmgn.ai/sol/address/DTmCAADcmgu5yMc7tqNegryFNpMAkSJzV6EGLWftwGSt,,,,1,1,0.200,5,4,5,3.9,2026-05-07T02:55:02.000Z,2026-05-08T08:07:29.509Z,131302,0,1506.4322447573584,0,0.0006880443250984869,gmgn,smart_degen,,,,
49,C,127.6,CkakfbMYpsXd7FRNtz9mZqik1dWjk9EmmxuVhUTQcmq8,https://gmgn.ai/sol/address/CkakfbMYpsXd7FRNtz9mZqik1dWjk9EmmxuVhUTQcmq8,,,,1,1,0.200,5,5,4.77,0,2026-05-10T21:00:44.000Z,2026-05-12T06:42:32.168Z,28902,0,136.75788083856,0,0.003656831500810183,gmgn,smart_degen,axiom,bundler|paper_hands,,
50,C,127.4,AqSTgWq3tCKRuJCRN3ssVn8cFuQNASVxvpBwaLVmfKgP,https://gmgn.ai/sol/address/AqSTgWq3tCKRuJCRN3ssVn8cFuQNASVxvpBwaLVmfKgP,,,,1,1,0.200,5,4,4.77,0,2026-05-10T20:10:23.000Z,2026-05-12T06:42:34.187Z,28902,0,269.82637917314,0,0.0005549923650818409,gmgn,smart_degen,axiom|gmgn|padre,bundler|paper_hands,,
51,C,126.9,6bxvSqw7bzRHTPNf2ZRvywLRqJ9LFn47sHaq5sd6bk5o,https://gmgn.ai/sol/address/6bxvSqw7bzRHTPNf2ZRvywLRqJ9LFn47sHaq5sd6bk5o,JAY,jaystoolate,JAY,1,1,0.250,4,4,3.82,0,2026-05-10T06:23:17.000Z,2026-05-12T06:42:34.186Z,119579,0,3045.8762573105,0,0.0018094549402129282,gmgn,smart_degen,axiom|photon|gmgn,paper_hands|bundler,,
52,C,126.7,6NQXRwFyzjuaHhYi5iYshs9zeMNTScv4z54bn3Q3opHu,https://gmgn.ai/sol/address/6NQXRwFyzjuaHhYi5iYshs9zeMNTScv4z54bn3Q3opHu,阿峰_Afeng,aa_AFeng,阿峰_Afeng,1,1,0.500,2,2,2,3.9,2026-05-08T06:50:51.000Z,2026-05-08T08:08:34.985Z,91917,0,1558.4209738992793,0.42857100000000004,413.32611019162437,gmgn|okx,renowned|kol,kol|gmgn,paper_hands,,
53,C,125.2,8SZnC4nicCmRBz1HZzFS1YrwMFEaEnkVi4k2oh5GEYV9,https://gmgn.ai/sol/address/8SZnC4nicCmRBz1HZzFS1YrwMFEaEnkVi4k2oh5GEYV9,,,,1,1,0.200,5,5,5,3.9,2026-05-07T02:53:48.000Z,2026-05-08T08:07:29.508Z,131302,0,259.84538787323214,0,0.003028793285953918,gmgn,smart_degen,,,,
54,B,123.2,GGjSUonDLxoVpDYgJa9ZuudyRvHsRbtHegezdgwsf7be,https://gmgn.ai/sol/address/GGjSUonDLxoVpDYgJa9ZuudyRvHsRbtHegezdgwsf7be,,,,2,2,1.000,2,2,2,3.9,2026-05-07T22:46:53.000Z,2026-05-08T08:07:27.489Z,144159,0,149.83402784917,0,0.00021368913314360953,gmgn,smart_degen,,,,
55,B,122.4,AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,https://gmgn.ai/sol/address/AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,,,,2,2,0.667,3,3,0.76,0,2026-05-11T00:43:34.000Z,2026-05-12T06:42:16.139Z,74240,0,2408.44455800328,0,0.0012424391139090574,gmgn,smart_degen,axiom,paper_hands|bundler,,
56,B,122.3,1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,https://gmgn.ai/sol/address/1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,,,,2,2,1.000,2,2,2,1,2026-05-10T20:44:24.000Z,2026-05-11T05:34:06.309Z,74240,0,19.65955688759,0,0.00020277775889685726,gmgn,smart_degen,axiom,bundler|paper_hands,,
57,C,122.2,6H8DrKRTeb2bHwx45aVyvq8AoBdg6RadaRgRSbi8aGaX,https://gmgn.ai/sol/address/6H8DrKRTeb2bHwx45aVyvq8AoBdg6RadaRgRSbi8aGaX,,,,1,1,0.250,4,3,4,3.9,2026-05-07T08:48:33.000Z,2026-05-08T08:07:21.503Z,131302,0,1.71810097716,0,0.00025726557596108396,gmgn|okx,smart_degen|smart_money,,,,
58,C,122.2,tuyuNoNBoij3FTkHmjkiEa4d8Nus4bjaCHfKRGgfLEs,https://gmgn.ai/sol/address/tuyuNoNBoij3FTkHmjkiEa4d8Nus4bjaCHfKRGgfLEs,,,,1,1,0.250,4,4,3.82,0,2026-05-10T05:23:34.000Z,2026-05-12T06:42:32.170Z,119579,0,498.82108983243,0,0.012032909661949026,gmgn,smart_degen,axiom,bundler|paper_hands,,
59,B,122,DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,https://gmgn.ai/sol/address/DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,Wick李🔶 BNB,SuperL9,Wick李🔶 BNB,2,2,0.286,7,7,1.77,0,2026-05-10T06:18:13.000Z,2026-05-12T06:42:38.128Z,105748,0,413.16137873998,0,0.00006542520180987682,gmgn,renowned,kol|gmgn,paper_hands|bundler,,
60,C,121.9,GzqMvEa5t7CTA9StmDTsuAZvDqgz6EQCf7rkMf9iL7zj,https://gmgn.ai/sol/address/GzqMvEa5t7CTA9StmDTsuAZvDqgz6EQCf7rkMf9iL7zj,,,,1,1,0.167,6,5,6,3.9,2026-05-08T05:26:44.000Z,2026-05-08T08:07:33.543Z,91917,0,91.83422942456,0,0.0001673343765997912,gmgn,smart_degen,,,,
61,B,121.8,hnu69n6P5CgYXCtUKii9wgamqtDeTVHY3TVJ6HKt7wC,https://gmgn.ai/sol/address/hnu69n6P5CgYXCtUKii9wgamqtDeTVHY3TVJ6HKt7wC,,,,2,2,0.667,3,3,3,3.9,2026-05-08T02:50:54.000Z,2026-05-08T08:07:29.507Z,144159,0,18.29494663328798,0,0.0028703068572578302,gmgn,smart_degen,,,,
62,B,121.4,9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,https://gmgn.ai/sol/address/9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,,,,2,2,0.400,5,5,1.26,0,2026-05-07T11:53:10.000Z,2026-05-12T06:41:52.240Z,113803,0,493.6288717818,0,0.002671931377148895,gmgn,smart_degen,axiom|photon|bullx,paper_hands,,
