rank,tier,priority_score,formula_tier,formula_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,gmgn_realized_profit_usd,gmgn_pnl_ratio,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_period,gmgn_snapshot_at_iso,gmgn_snapshot_age_days,gmgn_profile_fresh,gmgn_tags,okx_win_rate,okx_avg_buy_value_usd,okx_preferred_mcap,okx_buy_tx_count,okx_snapshot_at_iso,kol_like,owner_manual_label,owner_manual_notes,sources,tags,provider_tags,token_tags,llm_verdict,llm_confidence,llm_recommended_action,llm_reasoning,llm_reviewed_at_iso,llm_review_fresh,llm_score_adjustment,llm_formula_disagreement,stale_review_count,stale_candidate,stale_reason,import_candidate,import_blocked,import_block_reason,review_lane,saved_but_now_blocked,manual_rating,manual_notes
11,A,157.1,A,167.3,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,https://gmgn.ai/sol/address/suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Cupsey,Cupseyy,Cupsey,3,3,0.300,10,10,2.53,0.7,2026-05-10T05:22:56.000Z,2026-05-12T06:42:16.141Z,114266,,125.41405879125,0,yes,0.7,2026-05-12T06:42:16.141Z,0.00006937524106729314,,,0.4785867237687366,,,7d,2026-05-12T16:36:23.944Z,0.3,yes,kol|photon|axiom,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|photon,bundler|paper_hands,inflated_or_wash,85,demote,"KOL-like profile with high followers but no stored trade activity and only holder sightings, indicating noisy influencer flow without profitable trading evidence.",2026-05-12T16:38:32.896Z,yes,-10.2,yes,0,no,,no,no,,owner_review,no,,
12,A,155.7,A,147.2,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,https://gmgn.ai/sol/address/2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,,,,3,3,0.300,10,8,2.52,0.7,2026-05-10T20:42:50.000Z,2026-05-12T06:42:46.142Z,93261,,84.34803800338,0,yes,0.7,2026-05-12T06:42:46.142Z,0.00037806253283343316,,,0.574468085106383,,,7d,2026-05-12T16:35:56.882Z,0.3,yes,smart_degen|axiom,56.57,262.1917682126,<100K,148,2026-05-12T14:30:11.325Z,no,data_sufficient,Owner: has GMGN data; do not treat as insufficient_data solely from sparse local sightings.,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,85,promote,"OKX data shows $3K+ realized profit, 56% win rate, and preferred mcap <100K, indicating a profitable smart trader.",2026-05-12T16:38:54.740Z,yes,8.5,no,0,no,,yes,no,,ready,no,,
13,A,154.6,A,154.6,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,https://gmgn.ai/sol/address/6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,Cowboy🔶BNB,feibo03,Cowboy🔶BNB,3,3,0.300,10,10,2.52,0.7,2026-05-10T05:37:10.000Z,2026-05-12T06:42:38.127Z,114266,39,-69.59994638265,0,yes,0.7,2026-05-12T06:42:38.127Z,0.00006805461159950683,,,0.5674418604651162,,,7d,2026-05-12T14:30:09.810Z,0.4,yes,bullx|kol|app_smart_money|axiom|gmgn,47.49,315.5246425416,<100K,263,2026-05-12T14:30:19.384Z,yes,kol_profitable_watch,"Owner: KOL but seems profitable; watch, but do not enter when already in profit on candidate token.",gmgn|okx,renowned|smart_money,kol|axiom|bullx|gmgn,bundler|paper_hands,copy_trader,70,watch,"KOL-like wallet with mixed profitability (OKX PnL $4,851 but harvester PnL -$69.60); likely follows KOL signals rather than independent smart trading, given high follower count and noisy flow.",2026-05-12T14:31:53.714Z,yes,0,no,0,no,,no,no,,watch,no,,
14,A,153.7,A,146.2,9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,https://gmgn.ai/sol/address/9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,,,,3,3,0.500,6,6,1.52,0.7,2026-05-08T06:05:00.000Z,2026-05-12T06:42:36.123Z,139873,303,186.48867539179,0,yes,0.7,2026-05-12T06:42:36.123Z,0.00021614130459940594,,,0.7931034482758621,,,7d,2026-05-12T16:36:05.388Z,0.3,yes,gmgn,,,,,,no,,,gmgn,smart_degen,gmgn,,genuine_smart_trader,75,promote,"High winrate (79%) from GMGN analytics and recorded sell activity with $1,080 profit, showing active profitable trading in target mcap range.",2026-05-12T16:37:37.292Z,yes,7.5,no,0,no,,yes,no,,ready,no,,
15,A,151.3,A,151.3,7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,https://gmgn.ai/sol/address/7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,,,,3,3,0.273,11,11,2.78,0.7,2026-05-10T05:46:41.000Z,2026-05-12T06:42:46.142Z,114266,,29.04498726214,0,yes,0.7,2026-05-12T06:42:46.142Z,0.0003519300045581876,,,0.746031746031746,,,7d,2026-05-12T16:36:00.876Z,0.3,yes,axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,insufficient_data,65,watch,Analytics show good winrate but all local sightings are holder-only with sparse trade data.,2026-05-12T16:37:17.849Z,yes,0,no,0,no,,no,no,,watch,no,,
16,A,150,A,160.2,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,https://gmgn.ai/sol/address/7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,,,,3,3,0.200,15,14,3.77,0.7,2026-05-10T20:24:16.000Z,2026-05-12T06:42:46.143Z,93261,,14.05369812612,0,yes,0.7,2026-05-12T06:42:46.143Z,0.0002085204865023099,,,0.42857142857142855,,,7d,2026-05-12T16:36:01.364Z,0.3,yes,bullx|padre|axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom|bullx|padre,paper_hands|bundler,bot_or_sniper,85,demote,High token creation count and bundler tags suggest automated bot activity.,2026-05-12T16:37:17.849Z,yes,-10.2,yes,0,no,,no,no,,owner_review,no,,
17,A,143.7,A,152.1,FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,https://gmgn.ai/sol/address/FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,Hesi,hesiitations,Hesi,3,3,0.333,9,9,2.26,0.7,2026-05-10T20:47:16.000Z,2026-05-12T06:42:34.190Z,93261,,-3568.7987914663045,0,yes,0.7,2026-05-12T06:42:34.190Z,0.007597318684463398,,,0.3786008230452675,,,7d,2026-05-12T16:36:14.930Z,0.3,yes,gmgn|kol|top_renamed|wash_trader|padre|axiom,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|gmgn|padre|wash_trader,paper_hands|bundler,inflated_or_wash,70,demote,"KOL wallet with low win rate, negative PnL, and only holder sightings indicates noisy or unprofitable influence flow.",2026-05-12T16:37:54.755Z,yes,-8.4,yes,0,no,,no,no,,owner_review,no,,
18,B,142.6,B,134.6,2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,https://gmgn.ai/sol/address/2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,,,,2,2,0.200,10,9,2.52,0.7,2026-05-08T05:23:34.000Z,2026-05-12T06:42:34.184Z,111610,,256.02928713708,0,yes,0.7,2026-05-12T06:42:34.184Z,0.0022005357713658965,,,0.7522123893805309,,,7d,2026-05-12T16:35:56.377Z,0.3,yes,photon|axiom,,,,,,no,,,gmgn,smart_degen,axiom|photon,bundler|paper_hands,genuine_smart_trader,80,promote,"High GMGN win rate (75%) and positive PnL with recent sell sightings confirm active, profitable trading behavior.",2026-05-12T16:38:54.740Z,yes,8,no,0,no,,yes,no,,ready,no,,
19,B,142.1,B,134.6,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,https://gmgn.ai/sol/address/undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,,,,2,2,0.200,10,10,2.52,0.7,2026-05-07T03:51:07.000Z,2026-05-12T06:42:46.143Z,139905,,121.11942271208,0,yes,0.7,2026-05-12T06:42:46.143Z,0.00032079887214557084,,,0.711864406779661,,,7d,2026-05-12T16:36:24.443Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,bundler|paper_hands,genuine_smart_trader,75,promote,"Multiple high-value sell sightings with positive PnL and high GMGN win rate, combined with active trading signals, suggest a genuine micro-cap trader.",2026-05-12T16:38:32.896Z,yes,7.5,no,0,no,,yes,no,,ready,no,,
20,B,142,B,152.2,AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,https://gmgn.ai/sol/address/AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,Putrick,Putrickk,Putrick,2,2,1.000,2,2,0.69,1.7,2026-05-10T06:59:50.000Z,2026-05-11T05:33:22.267Z,99339,,642.00504966179,0,yes,1.7,2026-05-11T05:33:22.267Z,0.0006613780069502252,,,0.4035608308605341,,,7d,2026-05-12T16:36:06.883Z,0.3,yes,kol|axiom,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom,bundler|sniper,inflated_or_wash,85,demote,"KOL-like wallet with 58K followers but only holder sightings; no profitable trade evidence despite high PnL from holdings, typical noisy influencer flow.",2026-05-12T16:37:37.292Z,yes,-10.2,yes,0,no,,no,no,,owner_review,no,,
21,B,141.7,B,133.7,79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,https://gmgn.ai/sol/address/79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,,,,2,2,0.182,11,9,2.77,0.7,2026-05-10T06:30:04.000Z,2026-05-12T06:42:46.142Z,125441,3342,116.86796002444,0,yes,0.7,2026-05-12T06:42:46.142Z,0.00015470008548663138,,,0.8787878787878788,,,7d,2026-05-12T16:36:00.352Z,0.3,yes,axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,genuine_smart_trader,80,promote,High winrate and sell actions on target market cap tokens indicate active profitable trading.,2026-05-12T16:37:17.849Z,yes,8,no,0,no,,yes,no,,ready,no,,
22,B,140.7,B,149.1,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,https://gmgn.ai/sol/address/DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,RC,ResellCalendar,RC,2,2,0.333,6,5,1.51,0.7,2026-05-10T21:33:58.000Z,2026-05-12T06:42:34.190Z,125441,,28442.936899566015,0,yes,0.7,2026-05-12T06:42:34.190Z,0.0009554999527777442,,,0.48484848484848486,,,7d,2026-05-12T16:36:12.395Z,0.3,yes,kol|fomo,,,,,,yes,,,gmgn|okx,renowned|kol,kol|fomo,bundler|paper_hands,inflated_or_wash,70,demote,"KOL wallet with low win rate, no trade actions, and large holder amounts suggests noisy or unprofitable influence flow.",2026-05-12T16:37:54.755Z,yes,-8.4,yes,0,no,,no,no,,owner_review,no,,
23,B,137.4,B,135.3,AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,https://gmgn.ai/sol/address/AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,,,,2,2,0.667,3,3,0.76,0.7,2026-05-11T00:43:34.000Z,2026-05-12T06:42:16.139Z,74240,0,2408.44455800328,0,yes,0.7,2026-05-12T06:42:16.139Z,0.0012424391139090574,,,0.5227272727272727,,,7d,2026-05-12T16:36:07.369Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,genuine_smart_trader,70,keep,"High PnL ($2,408) and active trading on target tokens, with GMGN smart_degen tags indicating genuine micro-cap trader behavior.",2026-05-12T16:37:37.292Z,yes,2.1,no,0,no,,yes,no,,ready,no,,
24,C,135.3,C,135.3,5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,https://gmgn.ai/sol/address/5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,tech,technoviking46,tech,1,1,0.333,3,3,0.76,0.7,2026-05-10T20:09:06.000Z,2026-05-12T06:42:34.187Z,28902,,7683.64539968084,0,yes,0.7,2026-05-12T06:42:34.187Z,0.0016850730768004753,,,,,,,,,no,,,,,,,yes,,,okx|gmgn,kol|smart_degen|renowned,kol|axiom|photon|bullx|padre,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
25,B,132.8,B,130.4,sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,https://gmgn.ai/sol/address/sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,,,,2,2,0.222,9,7,2.26,0.7,2026-05-10T20:44:08.000Z,2026-05-12T06:42:34.185Z,54000,,348.3749801069825,0,yes,0.7,2026-05-12T06:42:34.185Z,0.004796020147140455,,,0.4090909090909091,,,7d,2026-05-12T16:36:23.481Z,0.3,yes,padre|smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom|padre,bundler|paper_hands,bot_or_sniper,80,keep,"Label and provider tags explicitly identify sniper/bundler activity, supported by multiple large sell sightings and low GMGN win rate.",2026-05-12T16:38:32.896Z,yes,2.4,no,0,no,,yes,no,,ready,no,,
26,B,131.8,B,129.7,8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,https://gmgn.ai/sol/address/8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,,,,2,2,0.667,3,3,0.75,0.7,2026-05-08T06:30:16.000Z,2026-05-12T06:42:32.169Z,109454,95,282.68599811212,0,yes,0.7,2026-05-12T06:42:32.169Z,0.000004072439420589821,,,0.41935483870967744,,,7d,2026-05-12T16:36:03.394Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,bundler,genuine_smart_trader,70,keep,Positive PnL and target market cap holdings suggest genuine early micro-cap interest.,2026-05-12T16:37:17.849Z,yes,2.1,no,0,no,,yes,no,,ready,no,,
27,B,131.4,B,129.4,FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,https://gmgn.ai/sol/address/FYsgcNSoqZNcCXsyVvr2NWQToMJUqB2ZbTK7N1E8cqM,,,,2,2,0.500,4,4,1.01,0.7,2026-05-10T20:45:40.000Z,2026-05-12T06:42:32.169Z,74240,,954.5706244685,0,yes,0.7,2026-05-12T06:42:32.169Z,0.008200087395777293,,,0.36363636363636365,,,7d,2026-05-12T16:36:13.401Z,0.3,yes,axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,65,keep,"Has both holder and trader sightings with positive PnL, indicating active trading in target micro-cap tokens.",2026-05-12T16:37:54.755Z,yes,2,no,0,no,,yes,no,,ready,no,,
28,B,131.1,B,131.1,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,https://gmgn.ai/sol/address/8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,,,,2,2,0.286,7,7,1.77,0.7,2026-05-07T19:42:37.000Z,2026-05-12T06:42:34.186Z,139905,,706.12124580883,0,yes,0.7,2026-05-12T06:42:34.186Z,0.004104440138045213,,,0.591304347826087,,,7d,2026-05-12T16:36:01.882Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,insufficient_data,70,watch,"Only holder sightings are stored despite positive PnL, making classification uncertain.",2026-05-12T16:37:17.849Z,yes,0,no,0,no,,no,no,,watch,no,,
29,A,131.1,A,131.1,9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,https://gmgn.ai/sol/address/9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,,,,3,3,1.000,3,3,3,4.6,2026-05-08T00:02:10.000Z,2026-05-08T08:07:27.489Z,116737,,571.33699452139,0,no,4.6,2026-05-08T08:07:27.489Z,0.0001647960198817748,,,0.4090909090909091,,,7d,2026-05-12T16:36:05.890Z,0.3,yes,gmgn|trojan,,,,,,no,,,gmgn,smart_degen,,,insufficient_data,40,watch,Only holder sightings with no trading activity recorded; last seen 4.4 days ago and no recent trades to evaluate.,2026-05-12T16:37:37.292Z,yes,0,no,0,no,,no,no,,watch,no,,
30,B,129.3,B,127.2,9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,https://gmgn.ai/sol/address/9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,,,,2,2,0.400,5,5,1.26,0.7,2026-05-07T11:53:10.000Z,2026-05-12T06:41:52.240Z,113803,,493.6288717818,0,yes,0.7,2026-05-12T06:41:52.240Z,0.002671931377148895,,,0.5259259259259259,,,7d,2026-05-12T16:36:06.370Z,0.3,yes,bullx|photon|axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom|photon|bullx,paper_hands,genuine_smart_trader,70,keep,"High token creation count (860) and multiple provider tags (axiom, photon, bullx) suggest active smart money flow, though only holder sightings are stored.",2026-05-12T16:37:37.292Z,yes,2.1,no,0,no,,yes,no,,ready,no,,
31,C,128.6,C,128.6,5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,https://gmgn.ai/sol/address/5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,Smokez,SmokezXBT,Smokez,1,1,0.500,2,2,0.51,0.7,2026-05-07T03:50:47.000Z,2026-05-12T06:42:34.193Z,148507,,7174.355483687117,0,yes,0.7,2026-05-12T06:42:34.193Z,0.000566498185491181,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|photon|trojan,paper_hands|bundler|transfer_in,,,,,,no,0,no,0,no,,no,no,,watch,no,,
